2.281090798849224388e+00,2.588300217855061369e+00,2.310736912664206333e+00,2.627500867865509626e+00,2.391118723986746630e+00,2.724994622630990904e+00,2.581420679152976128e+00,2.990900459381347964e+00,3.381836165396742366e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.056481449180990850e+00,2.982725818787619332e+00,2.551079623202503477e+00,2.712135547497477983e+00,2.376036831353891987e+00,2.622060512967199220e+00,2.306103818493156599e+00,2.586217508032027546e+00
2.288664494082456535e+00,2.596322843651625245e+00,2.320902367537946098e+00,2.631217324937406232e+00,2.394550562006859895e+00,2.731391511871000155e+00,2.354895659797649365e+00,3.003263177048882238e+00,3.431749188260579952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.092193462606083187e+00,2.992009381568898618e+00,2.559888925128751325e+00,2.720473140600573103e+00,2.385912077126871811e+00,2.628561695102765938e+00,2.310350761414558196e+00,2.592353439214350797e+00
2.290429125755315098e+00,2.597278065775116662e+00,2.322796614613711785e+00,2.638514561490221233e+00,2.405074232105925081e+00,2.739201685115717488e+00,2.599929156456477930e+00,3.014767695296853400e+00,3.488793112842361932e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.235090414361903477e+00,3.001456294034149597e+00,2.571417829123618048e+00,2.723933758142065731e+00,2.395692229235442561e+00,2.628814422148378238e+00,2.316057354402481394e+00,2.594105842418167551e+00
2.299899650265710083e+00,2.606187974270397056e+00,2.329813784934841703e+00,2.646332843184476591e+00,2.414025372320670382e+00,2.744953440063226946e+00,2.610332828257868609e+00,3.027189530286573227e+00,3.559114078438240014e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.266688405729215816e+00,3.011764292699430356e+00,2.582090160720772687e+00,2.730868087363306440e+00,2.399037169888349030e+00,2.637187425339030611e+00,2.320576533743985870e+00,2.597983574673249585e+00
2.304393028815230782e+00,2.602469991564525298e+00,2.335370773071432371e+00,2.644935848840901826e+00,2.418928067121998815e+00,2.754204521675795103e+00,2.621152679676957753e+00,3.038490156008422094e+00,3.647067172092568921e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.299762180233853037e+00,3.021901249908055753e+00,2.590698345935527058e+00,2.736803590965279920e+00,2.405211779864191879e+00,2.640796673528603922e+00,2.331930417710827097e+00,2.601077504631302606e+00
2.310032894501657275e+00,2.611152738657775529e+00,2.341552285339455253e+00,2.654050454409201620e+00,2.424106568002423856e+00,2.757446682673769356e+00,2.631469009783447444e+00,3.050953826282864156e+00,3.761394804062592190e+00,3.783732892129882952e+00,3.783732892129883396e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.334406078844871057e+00,3.031825023999175084e+00,2.602557637358458464e+00,2.740572663389194030e+00,2.414775583471899800e+00,2.646440122218006952e+00,2.333472372143141182e+00,2.610019486190617855e+00
2.313793495187338234e+00,2.611288850490161906e+00,2.341266171436248822e+00,2.655332103766166796e+00,2.431529594154542728e+00,2.762021221981101782e+00,2.641389026190875011e+00,3.063272935762997307e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.371040768911205188e+00,3.041974441839403021e+00,2.609194542138156159e+00,2.748581271498162781e+00,2.418625974934571321e+00,2.651378504227510646e+00,2.339107231679799614e+00,2.611390801769028158e+00
2.318442726199823500e+00,2.618674352406811678e+00,2.353484737039120755e+00,2.663096550089579129e+00,2.438934803463371992e+00,2.770848549035642261e+00,2.653836125666140244e+00,3.074283975400857294e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.337266600726347399e+00,3.052461729062500684e+00,2.618824849272736177e+00,2.757367445177899334e+00,2.423741960550855445e+00,2.653078384965323888e+00,2.343186520625380798e+00,2.618669814553199249e+00
2.326419663577834029e+00,2.623371755968280095e+00,2.361065567238141316e+00,2.668710259006987773e+00,2.445558124217379614e+00,2.776035934272983230e+00,2.659947022616807377e+00,3.086328158545538436e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.389583824293128878e+00,3.061819460661242331e+00,2.628019214653029234e+00,2.758778585045959630e+00,2.430226251685712935e+00,2.658070762938430143e+00,2.352771663340705199e+00,2.619846067523578625e+00
2.331432803362155859e+00,2.626116978033664839e+00,2.363597956323344906e+00,2.672091526358822300e+00,2.447481700493844503e+00,2.778087814049006621e+00,2.671782728330131640e+00,3.097630238500748590e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.503042001226635893e+00,3.072092155536532143e+00,2.635775859258171483e+00,2.766493009575060835e+00,2.436553467129199735e+00,2.663212420044768436e+00,2.356750590798742273e+00,2.623677248984044308e+00
2.335146072902505754e+00,2.629085056514677721e+00,2.368682185266901552e+00,2.677098173813794890e+00,2.459219586260240842e+00,2.787838330233975981e+00,2.679079793273693166e+00,3.109666130982433163e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.562667732497535322e+00,3.081596328440659338e+00,2.647884388806526434e+00,2.773499660942297496e+00,2.443906471239068789e+00,2.668600556855265538e+00,2.361020556926973324e+00,2.628702036285480492e+00
2.334104005574487939e+00,2.633288462660778873e+00,2.375207073159663285e+00,2.680403136640110429e+00,2.464139214447574222e+00,2.794378464906814852e+00,2.688627452647708527e+00,3.121051041171428508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.651657751097977744e+00,3.091708803824457785e+00,2.654048963188095911e+00,2.779447754473521215e+00,2.447080944682693548e+00,2.672393756770309103e+00,2.364537953926855618e+00,2.629760691222724489e+00
2.343639577469275981e+00,2.635770750912129312e+00,2.378167582235103161e+00,2.685515438860766047e+00,2.469104221423101819e+00,2.799392470967484670e+00,2.698684917083015833e+00,3.133138861221752780e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.746009641492721531e+00,3.101096080815529898e+00,2.663672386409507098e+00,2.782473406735811672e+00,2.453690484504075453e+00,2.678781921704956215e+00,2.365739643990617758e+00,2.639218832525648484e+00
2.348880943515499364e+00,2.640375069813451603e+00,2.380473791695841168e+00,2.689592512183919482e+00,2.475666111808422887e+00,2.805275571828344638e+00,2.707482443018697005e+00,3.144144180708651426e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.110549825356569542e+00,2.671851573721229833e+00,2.787122834000738347e+00,2.462548695221193462e+00,2.677209640591522888e+00,2.374693605573691357e+00,2.639184930089070402e+00
2.353080737484763763e+00,2.643457309917302211e+00,2.389818691828331065e+00,2.697561524999132931e+00,2.485541618439775391e+00,2.811326048381016740e+00,2.716618558147531726e+00,3.156811697818296736e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.120704194938242804e+00,2.678019696332225141e+00,2.794409026648017491e+00,2.465395538776368412e+00,2.685640238287466453e+00,2.378433750681113512e+00,2.646680568134596179e+00
2.356091471053446185e+00,2.648733040375680137e+00,2.390450228772693642e+00,2.695993696276506313e+00,2.488489311638693025e+00,2.819868839314090714e+00,2.726369601635340256e+00,3.167661144593542755e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.129943367689720812e+00,2.687792265687371174e+00,2.799155075290424843e+00,2.468538713370320270e+00,2.685241301083713505e+00,2.383193713708396277e+00,2.646850504866007814e+00
2.360574094201506323e+00,2.653330399923932159e+00,2.398046904303266391e+00,2.703909700339343747e+00,2.494908223299312944e+00,2.821961411062869907e+00,2.734670774038394203e+00,3.180339206654892781e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.140105086112207733e+00,2.697405169798314351e+00,2.801776824214652351e+00,2.477756282732195281e+00,2.693901521251294007e+00,2.388269429890204076e+00,2.651682030849413785e+00
2.362947193472253016e+00,2.653942225747438766e+00,2.402844185286596712e+00,2.703251579522082615e+00,2.499254981689174482e+00,2.826345425986327875e+00,2.744795716042805811e+00,3.191486844391661304e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882064e+00,3.783732892129882952e+00,3.149416760012019534e+00,2.704670266182576999e+00,2.809479050889988283e+00,2.482939725741498016e+00,2.699272547500708885e+00,2.398724171755399315e+00,2.653250349727305668e+00
2.369705489719541536e+00,2.661037105374992606e+00,2.407729784564758724e+00,2.710234582884487153e+00,2.507504487237514290e+00,2.834435346756735807e+00,2.752316246720127424e+00,3.203855714125083409e+00,3.783732892129882952e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.159477938979590395e+00,2.715274108591887448e+00,2.811786265120231221e+00,2.485459317008213986e+00,2.699930367896994365e+00,2.397352911721736035e+00,2.656436714666563059e+00
2.380307163642204404e+00,2.658695903165598118e+00,2.407830022264470848e+00,2.715858896319608640e+00,2.511037006813304551e+00,2.838403818709330562e+00,2.761376995387938571e+00,3.216691824258824717e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.168850488668061960e+00,2.721358155973825355e+00,2.819692056180439721e+00,2.493089311087822058e+00,2.705940270894779065e+00,2.401923799387221781e+00,2.659551351578736345e+00
2.377942695901068770e+00,2.666915407831652374e+00,2.415944774535114803e+00,2.717841624449135018e+00,2.516190425195141245e+00,2.841768619683562314e+00,2.768584008348467851e+00,3.227756709451222061e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.783732892129882064e+00,3.783732892129882508e+00,3.783732892129882508e+00,3.783732892129882952e+00,3.179159426473126882e+00,2.730571428484834140e+00,2.825458501651953558e+00,2.501759707757976070e+00,2.706003555935045490e+00,2.408708412421468825e+00,2.665707300470089081e+00
