2.288392164364089432e+00,2.287352937903019079e+00,2.286311033939468107e+00,2.285269613790051224e+00,2.286044244966936034e+00,2.284424104178919279e+00,2.282595773874510403e+00,2.281842280590433258e+00,2.283570335201232648e+00,2.284348188841500260e+00,2.281810388377357501e+00,2.277728055680992014e+00,2.276854571712278119e+00,2.279537939961576054e+00,2.281357122378433910e+00,2.281333231935298578e+00,2.278817716604735200e+00,2.275994725890141179e+00,2.274614343302760133e+00,2.274681309773060711e+00,2.275595253822190411e+00,2.276243158963806135e+00,2.276242362368801952e+00,2.275768247899771168e+00,2.274785233801317030e+00,2.274300194420355137e+00,2.274246733630526318e+00,2.274473314933233681e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274614343302760133e+00,2.274541378822924287e+00,2.274316960385193820e+00,2.274447866781770689e+00,2.274841749034297145e+00,2.275588940125361503e+00,2.276162892204483423e+00,2.276534313650147912e+00,2.276033671645466328e+00,2.275354580983525388e+00,2.274614343302760133e+00,2.275801754952971212e+00,2.278167912789855531e+00,2.279935375003623310e+00,2.280912731501647084e+00,2.280642704688909284e+00,2.278435200067135291e+00,2.278612046538900593e+00,2.280801615380064540e+00,2.282593422168237129e+00,2.283308754151949671e+00,2.282707432801101444e+00,2.283428681883588496e+00,2.284488932906757697e+00,2.284813587213758712e+00,2.285313053343553946e+00,2.286673531119276515e+00,2.287294450539838930e+00,2.288296317309345351e+00,2.288664270039606929e+00,2.288919583024232374e+00,2.290014933139312259e+00,2.291242036172099539e+00,2.293141588527078500e+00,2.291144361602042601e+00,2.291670420951539278e+00,2.296791662007528600e+00,2.294776136100262764e+00
2.292762596894184934e+00,2.292503633864816148e+00,2.292333951856150964e+00,2.292157575851008211e+00,2.291286722103556883e+00,2.289815105284653374e+00,2.289302714260758709e+00,2.289128513818444954e+00,2.288619418600335020e+00,2.286485621820950609e+00,2.286592388703237777e+00,2.287013241322012558e+00,2.287104109620111458e+00,2.286033930775847711e+00,2.283476361499342744e+00,2.282905751511496550e+00,2.282359665661365167e+00,2.282607611220992982e+00,2.284644451162345824e+00,2.285281515408002839e+00,2.282464187245216714e+00,2.279995563730701225e+00,2.280104438256753241e+00,2.280690889250773346e+00,2.280406551567169426e+00,2.279768417252427959e+00,2.278809804255423010e+00,2.278546180127813514e+00,2.279478396719663014e+00,2.279945582503359880e+00,2.279901039535553231e+00,2.279727619920531190e+00,2.279533305701819224e+00,2.279365595195625982e+00,2.279245972838001233e+00,2.279183270964532770e+00,2.279180520720200054e+00,2.279238262397074166e+00,2.279354917477599773e+00,2.279524292302949728e+00,2.279729926137403773e+00,2.279934502171982569e+00,2.280056095224719748e+00,2.279869164482394517e+00,2.278934636150441673e+00,2.278571981815689984e+00,2.279413943740272952e+00,2.280276071311580832e+00,2.280742840526993831e+00,2.280638292582862547e+00,2.280085580195970518e+00,2.281455441051905897e+00,2.284207561715410062e+00,2.284996578156494706e+00,2.283388252657364781e+00,2.282699162487940026e+00,2.283253310485889198e+00,2.283838874788095108e+00,2.285242888352092550e+00,2.286395584492184607e+00,2.286538617408503615e+00,2.286939182639763590e+00,2.287777500697991684e+00,2.288622158957879016e+00,2.288525399303012797e+00,2.289268838706257192e+00,2.289722706986732526e+00,2.291536855116261595e+00,2.291950148155190714e+00,2.292714171601548223e+00,2.293352248657590575e+00,2.292937172059023698e+00,2.293405012711943858e+00,2.297434093728240700e+00,2.298342519146098883e+00,2.293387661859488613e+00,2.295417289707282205e+00,2.303397043203485151e+00,2.300446251980033274e+00,2.294085943205486977e+00,2.302867607844459208e+00
2.293981347910925450e+00,2.295690499984917032e+00,2.300036396006611028e+00,2.295924299704364735e+00,2.293981347910925450e+00,2.293981347910925450e+00,2.293502755482755617e+00,2.290571020445553607e+00,2.293035205736016380e+00,2.293981347910925450e+00,2.293981347910925450e+00,2.289992306775292530e+00,2.282691316090332379e+00,2.285241638350397952e+00,2.290795787999160282e+00,2.293898662089286944e+00,2.293070956125490500e+00,2.288032848466429403e+00,2.282519465315366425e+00,2.280303011638384891e+00,2.280870973089671239e+00,2.283168854941742154e+00,2.286460549301112977e+00,2.289243518089062235e+00,2.289827277827688246e+00,2.288559553175127270e+00,2.286105063683894656e+00,2.283817420522937791e+00,2.282181927724376003e+00,2.281156864450642363e+00,2.280597164921210229e+00,2.280250752240410961e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280162183164474055e+00,2.280339012304026802e+00,2.280756752800332077e+00,2.281480430949202276e+00,2.282887038393395240e+00,2.285239619446608028e+00,2.288005428473998570e+00,2.292144273024070866e+00,2.292353675755052667e+00,2.289842146712421922e+00,2.286401548773419279e+00,2.283288818561689748e+00,2.282002507767512345e+00,2.282683650240267426e+00,2.287591955971766122e+00,2.293614377924167780e+00,2.295804942290299966e+00,2.294731166865954908e+00,2.289792183771157674e+00,2.284599603826725112e+00,2.288814394938048835e+00,2.295336013032698297e+00,2.295804942290299966e+00,2.295525805863628754e+00,2.293221881455121736e+00,2.294684688914758297e+00,2.296070694525530698e+00,2.295804942290299966e+00,2.296743032914680072e+00,2.300628128716522891e+00,2.300257796053440718e+00,2.296820651223082876e+00,2.298716046990253670e+00,2.304048929198806217e+00,2.303286904438000882e+00,2.300018779044261219e+00,2.302934437115653488e+00,2.306452842673840209e+00,2.304175202752098972e+00,2.305473096644434339e+00,2.305779304150214148e+00
2.305438578445290876e+00,2.303543465035433169e+00,2.300755963053572106e+00,2.300076304772682434e+00,2.300942411332339343e+00,2.301576896710601172e+00,2.298511279270005758e+00,2.298464571193409522e+00,2.297708857785736747e+00,2.296770013964389623e+00,2.296205048987234765e+00,2.296483651302582807e+00,2.295605255062514338e+00,2.294846781486457488e+00,2.294216610565954273e+00,2.293365258835916354e+00,2.293112063517750876e+00,2.292671554313406634e+00,2.292100266968243982e+00,2.291379614891567051e+00,2.290600182396037798e+00,2.290495414587458534e+00,2.290768603561254668e+00,2.290892216774601753e+00,2.291145831648107034e+00,2.291035875424185075e+00,2.290270373518568103e+00,2.289889766057865206e+00,2.289592700144218895e+00,2.288915289935873343e+00,2.287876780965489854e+00,2.287012829149045245e+00,2.286614697289353959e+00,2.286389769064515409e+00,2.286263555864154640e+00,2.286214907373014693e+00,2.286232874709984042e+00,2.286314926326919128e+00,2.286466011140205978e+00,2.286697189447036482e+00,2.287026032565679934e+00,2.287691212655571071e+00,2.288687681465971568e+00,2.289377181594109079e+00,2.289657869098468357e+00,2.289858920332722203e+00,2.290307871836833264e+00,2.290714418922564555e+00,2.290544889327093436e+00,2.290694939351173076e+00,2.290939007512522441e+00,2.291450436376055499e+00,2.291807231088075270e+00,2.292433592271261311e+00,2.292906672036607585e+00,2.292237438160244167e+00,2.292324370740878248e+00,2.294457324510310592e+00,2.295473399072398557e+00,2.295383861400472902e+00,2.296730157677898454e+00,2.296379014184250167e+00,2.296704989819061016e+00,2.297602417102566186e+00,2.298394426927198531e+00,2.298795183869088543e+00,2.300153467974990651e+00,2.302909034697298463e+00,2.299810884013580914e+00,2.301506969141483783e+00,2.301989262268102188e+00,2.305941794430853342e+00,2.304479519993708703e+00,2.303440623928780351e+00,2.306369086597243712e+00,2.307266896038839832e+00,2.307668199520735097e+00,2.307839842209653547e+00,2.309396675715654101e+00,2.309727256908207238e+00,2.310456789108689346e+00
2.305966701280383724e+00,2.303798268287803985e+00,2.310668464180061221e+00,2.311226394485320412e+00,2.305199563728967505e+00,2.301703145043582754e+00,2.304277550696717025e+00,2.306070244151289472e+00,2.305108348946459884e+00,2.302797609261501677e+00,2.301249328404836980e+00,2.301127538506575032e+00,2.300354677380728852e+00,2.300263641253896374e+00,2.299579466948757034e+00,2.299626255829156474e+00,2.299938443696075474e+00,2.298504970165524686e+00,2.297109617839172113e+00,2.296713966349787306e+00,2.296438605090811880e+00,2.296303226795623598e+00,2.296002152919356831e+00,2.295636508906189199e+00,2.295488910111119996e+00,2.295038034814003591e+00,2.294735827456237054e+00,2.294301023673374296e+00,2.294112252424295839e+00,2.294000792353610318e+00,2.294051216462241083e+00,2.294112073433104637e+00,2.294112157458882084e+00,2.294109743971496140e+00,2.294058440573071067e+00,2.294012751172571640e+00,2.293990095004439400e+00,2.293993754260816420e+00,2.294025910948193303e+00,2.294048590003590959e+00,2.294070302629114266e+00,2.294084162229213408e+00,2.294085275577766758e+00,2.294209813177851220e+00,2.294510026970728145e+00,2.295105866919080473e+00,2.295560899263182186e+00,2.296075573394192659e+00,2.296154267380975611e+00,2.295712719534084290e+00,2.295835557511803682e+00,2.295884751520539169e+00,2.296258585396201646e+00,2.296653373412592458e+00,2.298418897192146648e+00,2.300439926869230156e+00,2.300283645300947644e+00,2.299834755815274079e+00,2.299699595429694821e+00,2.300443730519678098e+00,2.301277146894666448e+00,2.301257536475977084e+00,2.301414961263673842e+00,2.303910486039022487e+00,2.307446068454984012e+00,2.305949081054860184e+00,2.301849459061307446e+00,2.302268463465726889e+00,2.309479433219237432e+00,2.313849281805617331e+00,2.306851092576415851e+00,2.302389041896594879e+00,2.311943763914052763e+00,2.315001814431160820e+00,2.311285024955955780e+00,2.308140379414222565e+00,2.315001814431160820e+00,2.315001814431160820e+00,2.314633454158656178e+00,2.316411442754444217e+00,2.315001814431160820e+00
2.314403069702039684e+00,2.312511788039618210e+00,2.313140053265725360e+00,2.315105769202748576e+00,2.311833723613377689e+00,2.307824664134694892e+00,2.309144814765570430e+00,2.312065869620423708e+00,2.311664661615199901e+00,2.307538051700366744e+00,2.304857080455064100e+00,2.305700113092296721e+00,2.307313349729450014e+00,2.307174381890185089e+00,2.305122570312447383e+00,2.304594620426281271e+00,2.304857080455064100e+00,2.304857080455064100e+00,2.304361220997790394e+00,2.301599855130398886e+00,2.298123279854793921e+00,2.297340536827642499e+00,2.299777600487568741e+00,2.302724716612416511e+00,2.304398040484591625e+00,2.304857080455064100e+00,2.304857080455064100e+00,2.304847469027815787e+00,2.304177519893449766e+00,2.302552874355719759e+00,2.300671491300193328e+00,2.298940872817992531e+00,2.297506665566143358e+00,2.296421258900476658e+00,2.295691232612886878e+00,2.295304312586966766e+00,2.295247553636913462e+00,2.295517975559676849e+00,2.296124296820376554e+00,2.297079296574743523e+00,2.298383897264999476e+00,2.300002893471187360e+00,2.301824243819270421e+00,2.303533326549957572e+00,2.304553832756225606e+00,2.304857080455064100e+00,2.304857080455064100e+00,2.304543786585800280e+00,2.303372750362374433e+00,2.301122892748031390e+00,2.298664485042003047e+00,2.298136843947513608e+00,2.300581793265901176e+00,2.303242213751619527e+00,2.304745714886275998e+00,2.304857080455064100e+00,2.304755876518640889e+00,2.305072446783043905e+00,2.306385596261832927e+00,2.307566552961764383e+00,2.306875345265591459e+00,2.305366125336369088e+00,2.306836583897241777e+00,2.310029866433302992e+00,2.311521527669907261e+00,2.311105116132811332e+00,2.309264643019253160e+00,2.311165623305477812e+00,2.313177264710347014e+00,2.313831259378657634e+00,2.313690912469275052e+00,2.314871712677132543e+00,2.316055384846106069e+00,2.315861282866345405e+00,2.317255697910486578e+00,2.318137623410081005e+00,2.319272201044247694e+00,2.319284928853143413e+00,2.320355615051174603e+00,2.320471285477807566e+00,2.324666108665932818e+00
2.319876660048781680e+00,2.319670010628493539e+00,2.319357101157396350e+00,2.316768891006665498e+00,2.317177477428648213e+00,2.317165447029714276e+00,2.317097862763824345e+00,2.313919375542042633e+00,2.313131680978282922e+00,2.312801414913484788e+00,2.315097297954790356e+00,2.314111828841805885e+00,2.310204764090766361e+00,2.310893589360280220e+00,2.310236579488839315e+00,2.308724867676528625e+00,2.310250057356316944e+00,2.309502320089340976e+00,2.308555968170336481e+00,2.308368471418320578e+00,2.307700008492345578e+00,2.307215049421720288e+00,2.307161126541214635e+00,2.307583963936954419e+00,2.306534921158616136e+00,2.304735879129661491e+00,2.303393069999394083e+00,2.303108079774548234e+00,2.303597260725617879e+00,2.304278499566509986e+00,2.304981939025463777e+00,2.305321672149105439e+00,2.305451528600253042e+00,2.305432435168750072e+00,2.305371024699412352e+00,2.305340919030884450e+00,2.305348841313816788e+00,2.305396129953691364e+00,2.305478898947060262e+00,2.305547524545212834e+00,2.305482767848103798e+00,2.305236280592915410e+00,2.304684917604624239e+00,2.303766062236834333e+00,2.303087673677965963e+00,2.303049458146391171e+00,2.304034643809985461e+00,2.305827331946439518e+00,2.307780765659484867e+00,2.307536378773816566e+00,2.307245429669825043e+00,2.307612706135084846e+00,2.308170597369675558e+00,2.308433370175893895e+00,2.309326003042231346e+00,2.310389859485918240e+00,2.309757023341924231e+00,2.309590584471379326e+00,2.310991469176644220e+00,2.310601548394414895e+00,2.312419120208665468e+00,2.314862509324378426e+00,2.313696056031063542e+00,2.313687621524361138e+00,2.314210353364853923e+00,2.316061236777894994e+00,2.316455238608726486e+00,2.316987371619319891e+00,2.318245352300936979e+00,2.319322071212356562e+00,2.319092612277457111e+00,2.319285151735100747e+00,2.320971030074439057e+00,2.322304316976881111e+00,2.323408455335906009e+00,2.323854689001449536e+00,2.322515524846325619e+00,2.325327967376823235e+00,2.329061117685441662e+00,2.325864503948939177e+00,2.324083920781867985e+00
2.325674402389314110e+00,2.323607043449167797e+00,2.323619230855564322e+00,2.325674402389314110e+00,2.325668962304366261e+00,2.318497992755311099e+00,2.315556191027611455e+00,2.322497684546994901e+00,2.325674402389314110e+00,2.321551479844108368e+00,2.314078433724721773e+00,2.312225545418498118e+00,2.315502443403484545e+00,2.320581063528579069e+00,2.320794062807419955e+00,2.316009854989730332e+00,2.312794496765299357e+00,2.312020736621862138e+00,2.312172703239546934e+00,2.312994316811009643e+00,2.313359143647852445e+00,2.312969913554987933e+00,2.312240539629569991e+00,2.311645099613227838e+00,2.311516674812243100e+00,2.311479745708981959e+00,2.311944418422825276e+00,2.312020736621862138e+00,2.311973636309021529e+00,2.311460278345572661e+00,2.310833773963597793e+00,2.310286819209129927e+00,2.309931388994007406e+00,2.309569734640791960e+00,2.309306025830476727e+00,2.309164367737675416e+00,2.309150780516479262e+00,2.309266889975626125e+00,2.309511272905770962e+00,2.309871643118516893e+00,2.310273974105613526e+00,2.310788115920392904e+00,2.311414663274067749e+00,2.311947197888110761e+00,2.312020736621862138e+00,2.312020736621862138e+00,2.311860864802002258e+00,2.311513814054219296e+00,2.311659994657264683e+00,2.312067307852853304e+00,2.313068320303842018e+00,2.313711493044944056e+00,2.313488099939792875e+00,2.312350842929363992e+00,2.312020736621862138e+00,2.312020736621862138e+00,2.313837905028562236e+00,2.319669273970079271e+00,2.322791826329248188e+00,2.318022574660455248e+00,2.312891929529604873e+00,2.312128490352974186e+00,2.318439745012190301e+00,2.325584642197521923e+00,2.325038170138267635e+00,2.318935505055561563e+00,2.315760104435838684e+00,2.323978989561759523e+00,2.325674402389314110e+00,2.325097734546685668e+00,2.323502980061276091e+00,2.326068860577134245e+00,2.325674402389314110e+00,2.326311269812741056e+00,2.330814262019452077e+00,2.329947508229182507e+00,2.326227697548453932e+00,2.331072443168209940e+00,2.334891597701624466e+00,2.330684613235097125e+00,2.331452047464242394e+00
2.331525741713046163e+00,2.330084852109758575e+00,2.329360503553334016e+00,2.328105801488026039e+00,2.328029440653784476e+00,2.327603708913220437e+00,2.326535747751786509e+00,2.325498080482141017e+00,2.324851701195462361e+00,2.324358191203330648e+00,2.323574321551399979e+00,2.322096072973632186e+00,2.321867960637537642e+00,2.322390797661197936e+00,2.322589720966919735e+00,2.321211895207201170e+00,2.319628768187711021e+00,2.317515640053573911e+00,2.317276322366430996e+00,2.318510447889889470e+00,2.319178445791817644e+00,2.318748825684313175e+00,2.317951338610628742e+00,2.317652292894543109e+00,2.316547884775621124e+00,2.316077460261390719e+00,2.315734251986554693e+00,2.315576888518283027e+00,2.315576888518283027e+00,2.315576888518283027e+00,2.315487041353270659e+00,2.315216325866865432e+00,2.315024860169349274e+00,2.314880840638850579e+00,2.314782550782938042e+00,2.314728565807598670e+00,2.314717443080602788e+00,2.314748574444123186e+00,2.314822390935036722e+00,2.314939689506148479e+00,2.315100336865344666e+00,2.315303981729084359e+00,2.315562266254881152e+00,2.315576888518283027e+00,2.315576888518283027e+00,2.315744111213926093e+00,2.316123838120851985e+00,2.316516768368235279e+00,2.317456616232852262e+00,2.317914335030146322e+00,2.317966363808059871e+00,2.319075955806229938e+00,2.318892190679971765e+00,2.318321696113711639e+00,2.318283343708729127e+00,2.319299305337171102e+00,2.320688109769540208e+00,2.321178458472003214e+00,2.321687176901560790e+00,2.322270799450524503e+00,2.323268484675145906e+00,2.324087625712087490e+00,2.324404395860151240e+00,2.323447467017468071e+00,2.325496799950652616e+00,2.326961632404563218e+00,2.327362537330806003e+00,2.328310533226296553e+00,2.328082452561623494e+00,2.329193746335411763e+00,2.330161023405814547e+00,2.329772569703602692e+00,2.334080882408072988e+00,2.331583885133820644e+00,2.332950154341554505e+00,2.333959210279808794e+00,2.337325813393051899e+00,2.335361201412633037e+00,2.335452656089746171e+00,2.338975754422572439e+00,2.339181762057872760e+00
2.332016220933184947e+00,2.334577398755121269e+00,2.334547531223988059e+00,2.332440847413794316e+00,2.330912449112329643e+00,2.330054425776814764e+00,2.329717776937219043e+00,2.329062366616098334e+00,2.329299263041757051e+00,2.328358348240778142e+00,2.326342903062320389e+00,2.325841114210299043e+00,2.325743737942981504e+00,2.324961030197197243e+00,2.324467052761529207e+00,2.323753057815260537e+00,2.323288671808247052e+00,2.323398434378655342e+00,2.323307913925804158e+00,2.322188628178659009e+00,2.320692965684294506e+00,2.320356311780943592e+00,2.320396630953660555e+00,2.319785756127144438e+00,2.319079765514476144e+00,2.318895910520633485e+00,2.319325913298237563e+00,2.319805640998773288e+00,2.319941105344232923e+00,2.319618729947225955e+00,2.319189018884002529e+00,2.318748144964373203e+00,2.318314390086047005e+00,2.318036778486853855e+00,2.317927945005572088e+00,2.317891305650420009e+00,2.317893427721677391e+00,2.317934659728777991e+00,2.318014559476055503e+00,2.318204883520016413e+00,2.318564190204138065e+00,2.319042464157059502e+00,2.319488941831946871e+00,2.319847064510713874e+00,2.319806583855799520e+00,2.319430305639576417e+00,2.319198283035756258e+00,2.319259676668428138e+00,2.319749336699461484e+00,2.320319866670831566e+00,2.320769390937352128e+00,2.321138884370715250e+00,2.321787514271886899e+00,2.322328666787915719e+00,2.324364028186791220e+00,2.325046145511998397e+00,2.325893691316125445e+00,2.327235757845755870e+00,2.327730851014250479e+00,2.326846408304503289e+00,2.326626650880192049e+00,2.327488918784605509e+00,2.329836346803916047e+00,2.332249699573428536e+00,2.331206645317252857e+00,2.330972912982413714e+00,2.331704351075473358e+00,2.332721825721403963e+00,2.332748993614591981e+00,2.335544914877329958e+00,2.338549801432760145e+00,2.334844436934536471e+00,2.332962492539878419e+00,2.338898650565981896e+00,2.344761254217344604e+00,2.337145706215516761e+00,2.335317786862838307e+00,2.345403547620218188e+00,2.345923550787748280e+00,2.336498933365312780e+00,2.343278028441722061e+00
